	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DPH7	1.50693092168854e-12	0.502165537671964	0.52	0.073	4.15521132346398e-08	motor	DPH7
KIAA1328	4.89523168032492e-11	0.369178996769998	0.32	0.03	1.34981118353279e-06	motor	KIAA1328
MARVELD1	1.27982488810607e-10	0.288954994635719	0.4	0.05	3.52898914646367e-06	motor	MARVELD1
MXRA8	6.10906799622816e-10	0.451302223446427	0.36	0.045	1.68451440927995e-05	motor	MXRA8
SYNRG	6.55083300200415e-10	0.303021836711474	0.44	0.068	1.80632669197262e-05	motor	SYNRG
TNRC6C	1.14946551372157e-09	0.625346857808578	0.48	0.085	3.16953620753587e-05	motor	TNRC6C
TRIM23	1.50514292307375e-09	0.324471451662579	0.44	0.07	4.15028109608357e-05	motor	TRIM23
MED11	5.48631904856762e-09	0.367237292346319	0.4	0.063	0.000151279761445204	motor	MED11
CDK14	5.87166113360227e-09	0.312364401352516	0.28	0.03	0.000161905184097949	motor	CDK14
PRSS23	6.34969158865896e-09	0.423901509710693	0.32	0.04	0.000175086395865682	motor	PRSS23
MTX1	9.88660750392545e-09	0.327738761097107	0.52	0.106	0.00027261331531324	motor	MTX1
ETHE1	1.16492520940781e-08	0.398377753811566	0.52	0.111	0.00032121647724211	motor	ETHE1
PTRH2	1.81555279753066e-08	0.274370802438372	0.32	0.043	0.000500620528391103	motor	PTRH2
TENM4	2.76047313930904e-08	0.287032957139055	0.28	0.033	0.000761172863433074	motor	TENM4
RFTN1	2.95438862480561e-08	0.565139485610011	0.44	0.088	0.000814643119403898	motor	RFTN1
TPST1	3.19247324647601e-08	0.417292112034681	0.36	0.058	0.000880292572983296	motor	TPST1
UGDH	4.07473086229226e-08	0.37127167753786	0.32	0.045	0.00112356628796847	motor	UGDH
ANKRD9	4.59883663866224e-08	0.37598308284461	0.44	0.085	0.00126808321474472	motor	ANKRD9
ATP1B2	7.64697193482889e-08	0.339180657675217	0.52	0.118	0.00210857604130972	motor	ATP1B2
KLHL29	9.2054724547679e-08	0.279765076761858	0.32	0.048	0.0025383169746777	motor	KLHL29
SLC6A1	1.18598311841725e-07	0.675980554023888	0.56	0.143	0.00327022985072371	motor	SLC6A1
SLC19A1	1.27606085053959e-07	0.263212587594664	0.36	0.06	0.00351861018927788	motor	SLC19A1
IFRD2	1.43445616319563e-07	0.301756177850907	0.4	0.075	0.00395536942439563	motor	IFRD2
MAP2K7	1.46463736986197e-07	0.31971181941962	0.44	0.093	0.00403859108365739	motor	MAP2K7
GOPC	1.6340888385169e-07	0.305218955898943	0.64	0.166	0.00450583656332649	motor	GOPC
RXRA	1.88526960039924e-07	0.267730976312965	0.36	0.063	0.00519844239614086	motor	RXRA
TCERG1	2.12698541614013e-07	0.372956041969133	0.48	0.106	0.0058649495864648	motor	TCERG1
C9orf69	2.3289648410036e-07	0.335037510459639	0.36	0.063	0.00642188765258332	motor	C9orf69
VPS16	2.4797407954267e-07	0.396574042314252	0.36	0.065	0.00683763726930958	motor	VPS16
ZNF512B	2.94804563141502e-07	0.403957931535725	0.28	0.04	0.00812894102406377	motor	ZNF512B
HGS	3.1839721315357e-07	0.258947527196755	0.4	0.078	0.00877948475549653	motor	HGS
FAM92A1	3.224304748007e-07	0.395927201078368	0.48	0.111	0.00889069791215449	motor	FAM92A1
CCZ1	3.56070749346683e-07	0.343403397944007	0.44	0.095	0.00981829484248544	motor	CCZ1
CCDC71L	3.68039270846298e-07	0.508751508776729	0.4	0.08	0.0101483148543158	motor	CCDC71L
ARHGEF40	4.99197956145085e-07	0.412558707642784	0.36	0.07	0.0137648844427446	motor	ARHGEF40
CRIP1	5.052978319921e-07	0.367504482018239	0.44	0.095	0.0139330824193502	motor	CRIP1
NENF	6.10849099430668e-07	0.480744476106573	0.68	0.206	0.0168435530677012	motor	NENF
RFNG	6.36156106317121e-07	0.361515859325041	0.44	0.098	0.0175413684755883	motor	RFNG
RIC8A	7.30243928490063e-07	0.416417102411583	0.48	0.113	0.020135746084185	motor	RIC8A
CARMN	7.34065447547864e-07	0.809056330322895	0.4	0.093	0.0202411206506848	motor	CARMN
TMEM51	7.92780559974743e-07	0.270784091750144	0.36	0.07	0.0218601311607436	motor	TMEM51
SEZ6L2	8.72583035142269e-07	0.346338900560746	0.64	0.173	0.0240606046110129	motor	SEZ6L2
RBM33	8.79997232911728e-07	0.342253531789971	0.44	0.098	0.024265043700308	motor	RBM33
ABCD4	9.33219827698275e-07	0.279487155732652	0.56	0.148	0.0257326035289522	motor	ABCD4
RABGGTB	1.10135169805063e-06	0.307409668495915	0.48	0.116	0.030368671722048	motor	RABGGTB
SEMA6C	1.2110477134778e-06	0.269100282396986	0.44	0.103	0.0333934296514368	motor	SEMA6C
DCTN5	1.22873287159736e-06	0.336112529069239	0.52	0.133	0.0338810802014256	motor	DCTN5
C20orf24	1.2742380840828e-06	0.411724135353742	0.52	0.138	0.0351358409304992	motor	C20orf24
SUGP2	1.29126974423392e-06	0.47189541613557	0.52	0.138	0.0356054719275062	motor	SUGP2
RING1	1.32800702146693e-06	0.255528343809467	0.44	0.098	0.0366184656099292	motor	RING1
