	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT-ND3	3.44254228766504e-162	0.335686816399223	1	0.999	9.49246610400758e-158	motor	MT-ND3
RBP1	1.37767229245754e-121	0.873907183205322	0.684	0.366	3.79879357922241e-117	motor	RBP1
MT-ATP6	9.52047113013523e-115	0.272638040983983	1	1	2.62517470942349e-110	motor	MT-ATP6
MT-CO3	1.25201382616335e-107	0.250787026543662	1	1	3.45230292426281e-103	motor	MT-CO3
MT-ND4	5.11190508775426e-103	0.265231586066084	1	0.999	1.40955670889736e-98	motor	MT-ND4
MT-CYB	2.09168279145148e-100	0.261158330664758	1	0.999	5.7676061291483e-96	motor	MT-CYB
MT-ND2	6.00318665256808e-77	0.293717389146968	0.998	0.988	1.65531868757912e-72	motor	MT-ND2
DLX6-AS1	4.72158702234915e-69	0.655364709261283	0.53	0.277	1.30193040554255e-64	motor	DLX6-AS1
MT-ND4L	1.11734635595402e-50	0.271817257315415	0.9	0.843	3.08097084190762e-46	motor	MT-ND4L
GAD2	5.7301513332891e-40	0.517805037250302	0.318	0.152	1.58003192864114e-35	motor	GAD2
RND3	2.13393222891321e-37	0.519171004199851	0.566	0.457	5.88410472800528e-33	motor	RND3
DLX5	6.99464000281729e-37	0.474118574897184	0.378	0.191	1.92870203437684e-32	motor	DLX5
DLX2	6.81786284302593e-35	0.3774903469923	0.372	0.194	1.87995750033597e-30	motor	DLX2
ARX	1.88993442145964e-31	0.326791618192241	0.386	0.232	5.21130517373281e-27	motor	ARX
C11orf96	2.15436954965578e-27	0.463757149006586	0.495	0.362	5.94045859622084e-23	motor	C11orf96
PFN2	3.92955119273443e-24	0.405432764716493	0.66	0.586	1.08353444588459e-19	motor	PFN2
DLX1	1.15291290474086e-21	0.317097451080077	0.298	0.161	3.17904204353244e-17	motor	DLX1
SOX2	1.60669374531586e-21	0.287192978437132	0.457	0.323	4.43029733333397e-17	motor	SOX2
MEG3	3.5083342316349e-21	0.267377214231268	0.531	0.389	9.67388081031008e-17	motor	MEG3
TMEM123	1.04397148042324e-17	0.288369425789743	0.296	0.202	2.87864696011903e-13	motor	TMEM123
HMGN2	6.80965257670146e-15	0.327895786131583	0.767	0.751	1.87769360149966e-10	motor	HMGN2
AC004158.3	2.96034667401323e-13	0.285820723509074	0.444	0.345	8.16285991892409e-09	motor	AC004158.3
BTG1	2.9717421026341e-13	0.289995249765812	0.818	0.775	8.19428167380328e-09	motor	BTG1
MEIS2	6.8425993608857e-13	0.272230077373802	0.709	0.645	1.88677834777062e-08	motor	MEIS2
TOX3	3.08753620703985e-12	0.395150828015608	0.328	0.259	8.51357233729169e-08	motor	TOX3
ARL4D	1.48529310266362e-09	0.266539552393306	0.436	0.402	4.09554720128467e-05	motor	ARL4D
PCDH9	0.000238148920194938	0.312038581811329	0.293	0.237	1	motor	PCDH9
RP11-437B10.1	4.66576478177853e-65	0.310995086700259	0.406	0.158	1.28653798092761e-60	parietal	RP11-437B10.1
AC090498.1	1.03528127488471e-62	0.337839360726748	0.781	0.519	2.8546845873671e-58	parietal	AC090498.1
SEPT5	1.14044740024749e-59	0.326763166180664	0.466	0.229	3.14466966144242e-55	parietal	SEPT5
RPL17	9.83140064404187e-59	0.311587605479458	0.545	0.3	2.71091041358811e-54	parietal	RPL17
LHX21	1.24118600502618e-49	0.375776933983326	0.602	0.366	3.42244629025918e-45	parietal	LHX2
EEF2	1.35259362860668e-44	0.251303022258616	0.963	0.888	3.72964167152005e-40	parietal	EEF2
MTRNR2L12	2.06896047782951e-42	0.336520486284387	0.769	0.548	5.7049516215671e-38	parietal	MTRNR2L12
HIST1H4C1	3.48213186386317e-38	0.330728630343507	0.901	0.778	9.60163040141631e-34	parietal	HIST1H4C
ROBO2	5.11786978903994e-36	0.271167436661883	0.484	0.283	1.41120141562987e-31	parietal	ROBO2
SDCBP1	1.12078341092187e-31	0.294179054032758	0.746	0.578	3.09044817727597e-27	parietal	SDCBP
INSM1	1.32126666957235e-27	0.26296587543597	0.581	0.401	3.64326071467879e-23	parietal	INSM1
ARHGAP21	1.14389059147544e-25	0.257354923881834	0.683	0.478	3.15416391693437e-21	parietal	ARHGAP21
MCUR11	1.19420716436809e-19	0.263219955692124	0.419	0.269	3.29290683502857e-15	parietal	MCUR1
TMEM1581	1.86291481916613e-18	0.363946290422537	0.593	0.462	5.13680132236867e-14	parietal	TMEM158
NRN1	2.21307727161169e-18	0.252595422217227	0.326	0.208	6.10233926874208e-14	parietal	NRN1
HES6	3.91035555785521e-16	0.276460350877638	0.715	0.591	1.078241441523e-11	parietal	HES6
B2M	5.27924263714769e-09	0.259181627091799	0.332	0.258	0.00014556983647671	parietal	B2M
NEFM1	2.6779969908682e-06	0.287664141168879	0.296	0.218	0.0738430890261997	parietal	NEFM
VIM1	3.58111006500462e-05	0.28700115351066	0.44	0.39	0.987455289324373	parietal	VIM
BCYRN1	3.5533179388499e-190	0.955856892496711	0.518	0.097	9.7979188845847e-186	PFC	BCYRN1
VSTM2L	7.97335573464813e-109	0.774736986072534	0.427	0.123	2.19857311027188e-104	PFC	VSTM2L
SNHG25	1.69769879985372e-103	0.540992760173029	0.367	0.072	4.68123467071665e-99	PFC	SNHG25
