gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
PLPPR3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	5.50497	0	0.263	9.76634	0.293	0.03	0.56367	early_pfc	early	pfc
RP4-665J23.1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	2.23424	0	0.094	7.26618	0.109	0.015	0.30748	early_pfc	early	pfc
LAMP5	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	1.19663	0	0.111	4.5805	0.142	0.031	0.26124000000000003	early_pfc	early	pfc
HIST1H4C	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.94459	0	0.103	1.13464	0.868	0.765	0.8325	early_pfc	early	pfc
RBP1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.6844	0	0.236	1.43703	0.776	0.54	0.47626	early_pfc	early	pfc
C4orf48	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.67757	0	0.201	1.36413	0.753	0.552	0.49671	early_pfc	early	pfc
STK17A	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.63952	0	0.199	1.6067	0.527	0.328	0.39803	early_pfc	early	pfc
CXCL12	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.61211	2e-5	0.127	1.80379	0.285	0.158	0.33935	early_pfc	early	pfc
CSRP2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.53235	0	0.083	1.09811	0.929	0.846	0.48479	early_pfc	early	pfc
HOPX	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.51681	1e-5	0.078	1.89653	0.165	0.087	0.2725	early_pfc	early	pfc
MT-CO2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.49207	0	0.005	1.00502	1	0.995	0.48961	early_pfc	early	pfc
H2AFZ	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.48708	0	0.054	1.05882	0.972	0.918	0.46002	early_pfc	early	pfc
