item1	item2	n
neuron_msp_early	neuron_msp_early	548
neuron_msp_early	neuron_msp_late	149
neuron_msp_early	neuron_msp_mid	261
neuron_msp_early	neuron_pfc_early	89
neuron_msp_early	neuron_pfc_late	82
neuron_msp_early	neuron_pfc_mid	183
neuron_msp_early	neuron_temporal_early	37
neuron_msp_early	neuron_temporal_late	72
neuron_msp_early	neuron_temporal_mid	87
neuron_msp_early	neuron_v1_early	73
neuron_msp_early	neuron_v1_late	18
neuron_msp_early	neuron_v1_mid	130
neuron_msp_early	rg_msp_early	113
neuron_msp_early	rg_msp_late	80
neuron_msp_early	rg_msp_mid	211
neuron_msp_early	rg_pfc_early	27
neuron_msp_early	rg_pfc_late	29
neuron_msp_early	rg_pfc_mid	174
neuron_msp_early	rg_temporal_early	18
neuron_msp_early	rg_temporal_late	14
neuron_msp_early	rg_temporal_mid	78
neuron_msp_early	rg_v1_early	151
neuron_msp_early	rg_v1_late	14
neuron_msp_early	rg_v1_mid	133
neuron_msp_late	neuron_msp_early	149
neuron_msp_late	neuron_msp_late	531
neuron_msp_late	neuron_msp_mid	330
neuron_msp_late	neuron_pfc_early	61
neuron_msp_late	neuron_pfc_late	50
neuron_msp_late	neuron_pfc_mid	180
neuron_msp_late	neuron_temporal_early	48
neuron_msp_late	neuron_temporal_late	179
neuron_msp_late	neuron_temporal_mid	136
neuron_msp_late	neuron_v1_early	86
neuron_msp_late	neuron_v1_late	66
neuron_msp_late	neuron_v1_mid	183
neuron_msp_late	rg_msp_early	71
neuron_msp_late	rg_msp_late	133
neuron_msp_late	rg_msp_mid	245
neuron_msp_late	rg_pfc_early	27
neuron_msp_late	rg_pfc_late	31
neuron_msp_late	rg_pfc_mid	110
neuron_msp_late	rg_temporal_early	20
neuron_msp_late	rg_temporal_late	15
neuron_msp_late	rg_temporal_mid	93
neuron_msp_late	rg_v1_early	174
neuron_msp_late	rg_v1_late	44
neuron_msp_late	rg_v1_mid	136
neuron_msp_mid	neuron_msp_early	261
neuron_msp_mid	neuron_msp_late	330
neuron_msp_mid	neuron_msp_mid	1201
neuron_msp_mid	neuron_pfc_early	127
neuron_msp_mid	neuron_pfc_late	142
neuron_msp_mid	neuron_pfc_mid	312
neuron_msp_mid	neuron_temporal_early	100
neuron_msp_mid	neuron_temporal_late	190
neuron_msp_mid	neuron_temporal_mid	275
neuron_msp_mid	neuron_v1_early	110
neuron_msp_mid	neuron_v1_late	59
neuron_msp_mid	neuron_v1_mid	267
neuron_msp_mid	rg_msp_early	116
neuron_msp_mid	rg_msp_late	153
neuron_msp_mid	rg_msp_mid	380
neuron_msp_mid	rg_pfc_early	45
neuron_msp_mid	rg_pfc_late	42
neuron_msp_mid	rg_pfc_mid	265
neuron_msp_mid	rg_temporal_early	30
neuron_msp_mid	rg_temporal_late	22
neuron_msp_mid	rg_temporal_mid	152
neuron_msp_mid	rg_v1_early	264
neuron_msp_mid	rg_v1_late	40
neuron_msp_mid	rg_v1_mid	256
neuron_pfc_early	neuron_msp_early	89
neuron_pfc_early	neuron_msp_late	61
neuron_pfc_early	neuron_msp_mid	127
neuron_pfc_early	neuron_pfc_early	403
neuron_pfc_early	neuron_pfc_late	53
neuron_pfc_early	neuron_pfc_mid	98
neuron_pfc_early	neuron_temporal_early	8
neuron_pfc_early	neuron_temporal_late	25
neuron_pfc_early	neuron_temporal_mid	62
neuron_pfc_early	neuron_v1_early	28
neuron_pfc_early	neuron_v1_late	12
neuron_pfc_early	neuron_v1_mid	76
neuron_pfc_early	rg_msp_early	31
neuron_pfc_early	rg_msp_late	62
neuron_pfc_early	rg_msp_mid	177
