item1	item2	n	n_norm	genes
neuron_msp_early	neuron_msp_early_all	367	1	SOX11;SAR1A;HNRNPH1;PPP1CB;CTNNB1;LMO3;MARCKS;MDM4;PCDH17;SRSF6;PTPRS;C1orf56;PPP3CA;LMO4;WTAP;BCL11B;HSPA4;INSR;SET;MARCH6;NFIB;CBX3;NDUFA13;GPM6A;PABPC1;RNF2;KRT31;BCYRN1;NFIA;ENC1;PAFAH1B2;SERF2;PRKAR1A;LLNLR-245B6.1;ATP5I;EIF4G2;IRF2BPL;MIF;AC090498.1;RND3;UQCR11;PTBP2;TNRC6B;TMA7;MAP1B;BEX5;PET100;ENAH;DCX;TRA2A;CDC42;USMG5;POMP;SATB2;RPP21;FTL;LIMCH1;COMMD6;PRDX2;CAMK2N1;NNAT;RAB10;ZNF462;ELAVL2;SLIRP;CNOT7;TRIM36;CSDE1;TMSB15A;YWHAG;PFDN4;ATP6V1F;TOMM5;RBP1;LINC00643;ARF4;SEC61G;TBCB;PRMT2;COX6B1;ZEB2;NEDD8;CAPZA2;PHPT1;LSM7;SUB1;CSRP2;GDI1;MEG3;FTH1;RPL13;RPS2;C4orf48;YBX1;PCSK1N;CKB;CCNI;COX5A;ZNF428;TUBB2A;YWHAQ;NDFIP1;C1QBP;TTC3;HMGN1;TERF2IP;CLTA;LY6H;JUN;TSPAN13;TMEM160;MARCKSL1;ATP5D;GADD45GIP1;PODXL2;HNRNPA0;RAB2A;STMN2;UQCRFS1;PTPRZ1;MAP1LC3A;KTN1;RAC3;MRPL41;RANBP1;PFN1;ITM2B;CALM1;SMARCB1;GUK1;ARPP21;PYURF;BCL7A;UBE2D1;ARF5;SCD5;MTDH;METTL9;DYNC1I1;MAP1LC3B;SCAND1;HMGB1;AFF3;UBE2D2;KLC1;EIF3F;SRSF2;WASF1;AAK1;FEZ1;NFIX;CCDC112;RTN4;SMARCA4;C5orf24;MT-ND2;HSP90AA1;CRMP1;VAPA;TCEAL2;C16orf13;MEF2C;COX4I1;HNRNPM;RBFOX1;PAK2;BHLHE22;HP1BP3;SYT1;PA2G4;SEPT11;JMJD1C;YTHDC1;NOVA1;RPRM;RHEB;APP;CBX1;PTP4A1;LINC01551;PCBP2;ARGLU1;ANK3;PSMA7;AP2B1;ARPC2;AKAP9;NUDT3;BASP1;ATP2B1;RTF1;AKT3;CTTNBP2;SQLE;SRGAP1;KIFAP3;UBE2E3;DDX46;SARAF;SERPINI1;RWDD1;H1FX;HSPA1A;HSPA1B;EPHB6;RHOB;MEIS2;FOS;SLA;TSC22D1;POU3F2;JUND;DUSP1;CLMP;DNAJB1;BTG1;NEUROD1;HSPB1;ID4;IER2;PDHA1;UNC5D;GNG4;PGAP1;POU3F3;DDIT4;PHLDA1;BTG2;SEMA3C;IFRD1;SAT1;DUSP14;NTM;JUNB;SRM;KLF6;AKAP8L;HES6;ZNF704;MLLT3;CADM1;TCF4;PLCB1;DPY19L1;CNR1;SETBP1;CASC15;PLXNA2;MT-ND1;PTCHD2;PAG1;KLHL35;SORBS2;ROBO2;PREX1;ST8SIA1;BAZ2B;SDCBP;SEZ6;LRP8;ST6GAL2;NRN1;HECTD4;PRKX;MN1;UBC;TTC28;CUX2;PPDPF;NR4A1;NR2F1;FOXG1;FOXN3;KCNQ3;POU3F1;WDFY3;KCNN3;AFF4;UNC5A;ARHGAP21;EPHA3;HS3ST1;ADD3;FAM57B;CELSR2;IER5;PNISR;CCND2;ZNF608;GPC2;PHIP;COL9A2;SRSF5;RBFOX3;MTRNR2L12;NKTR;EZR;MEX3A;TRA2B;EPHA5;CALD1;ZNF292;TMEM158;H3F3B;RP11-437B10.1;SMS;ARRDC3;GADD45G;BCL11A;INSM1;WBP5;HSPE1;RAB12;TCEAL7;ARL4C;TBCC;C19orf43;SLN;VSTM2L;FKBP8;CTNNBL1;SNAP25;DAAM1;HES4;CTD-2129N1.1;UPP1;TRNP1;GALNT13;SAMD12;ZNF182;TMEM191C;WNT7A;SNCG;CALY;MMP28;XBP1;RQCD1;UBE2S;C12orf75;ZBTB48;ZFP28;TMEM191B;FBXO38;GPR37;KIFC3;LRRC16A;MINK1;SPIDR;FLCN;ZNF264;PRPS2;CDH6;UHRF2;RCN2;RAP1GAP;SYNPR;NCOA5;CSAD;MACROD2;MT2A;TVP23B;STUB1;CCNG2;CALM2;NEFM;GAP43;TSTD1
neuron_msp_early	neuron_msp_early_shared	328	0.8937	
neuron_msp_early	neuron_msp_mid	165	0.4496	SOX11;LMO3;PCDH17;LMO4;BCL11B;NFIB;CBX3;NDUFA13;GPM6A;KRT31;BCYRN1;NFIA;ENC1;ATP5I;EIF4G2;MIF;AC090498.1;RND3;UQCR11;TNRC6B;MAP1B;PET100;USMG5;SATB2;FTL;LIMCH1;NNAT;ELAVL2;SLIRP;TRIM36;RBP1;TBCB;ZEB2;CSRP2;MEG3;FTH1;RPS2;C4orf48;YBX1;PCSK1N;CKB;CCNI;ZNF428;TUBB2A;NDFIP1;C1QBP;HMGN1;TERF2IP;CLTA;LY6H;JUN;TSPAN13;MARCKSL1;ATP5D;GADD45GIP1;STMN2;UQCRFS1;PTPRZ1;MAP1LC3A;KTN1;RAC3;RANBP1;ITM2B;GUK1;ARPP21;BCL7A;SCD5;MTDH;METTL9;SCAND1;HMGB1;AFF3;KLC1;EIF3F;SRSF2;AAK1;NFIX;RTN4;SMARCA4;HSP90AA1;CRMP1;MEF2C;COX4I1;RBFOX1;PAK2;BHLHE22;HP1BP3;SYT1;JMJD1C;YTHDC1;NOVA1;RPRM;APP;CBX1;ARGLU1;ANK3;AP2B1;ARPC2;BASP1;RTF1;AKT3;CTTNBP2;SQLE;SRGAP1;KIFAP3;DDX46;SARAF;SERPINI1;HSPA1A;EPHB6;RHOB;MEIS2;FOS;SLA;TSC22D1;POU3F2;DUSP1;CLMP;BTG1;ID4;UNC5D;PGAP1;POU3F3;SEMA3C;SAT1;NTM;SRM;KLF6;HES6;MLLT3;KLHL35;ROBO2;SDCBP;SEZ6;MN1;PPDPF;NR2F1;ARHGAP21;FAM57B;PNISR;ZNF608;GPC2;COL9A2;MTRNR2L12;NKTR;EZR;TRA2B;RP11-437B10.1;GADD45G;INSM1;TCEAL7;ARL4C;C19orf43;SLN;VSTM2L;CTNNBL1;SNAP25;DAAM1;CALY;UBE2S;RCN2;SYNPR;STUB1;CALM2;NEFM
neuron_msp_early	neuron_pfc_mid	134	0.3651	SOX11;HNRNPH1;LMO3;MARCKS;PCDH17;SRSF6;LMO4;SET;CBX3;NDUFA13;GPM6A;KRT31;BCYRN1;NFIA;ENC1;SERF2;LLNLR-245B6.1;ATP5I;MIF;AC090498.1;UQCR11;TMA7;BEX5;PET100;USMG5;POMP;FTL;LIMCH1;NNAT;ELAVL2;SLIRP;CNOT7;TRIM36;TMSB15A;YWHAG;PFDN4;RBP1;SEC61G;PRMT2;COX6B1;ZEB2;NEDD8;CAPZA2;PHPT1;LSM7;CSRP2;MEG3;FTH1;RPS2;C4orf48;YBX1;PCSK1N;CKB;CCNI;COX5A;TUBB2A;NDFIP1;C1QBP;TTC3;HMGN1;TERF2IP;CLTA;LY6H;JUN;TSPAN13;TMEM160;MARCKSL1;ATP5D;GADD45GIP1;PODXL2;RAB2A;UQCRFS1;PTPRZ1;MAP1LC3A;KTN1;RAC3;MRPL41;RANBP1;PFN1;ITM2B;CALM1;SMARCB1;GUK1;PYURF;UBE2D1;SCD5;MTDH;METTL9;DYNC1I1;MAP1LC3B;SCAND1;UBE2D2;KLC1;SRSF2;FEZ1;RTN4;CRMP1;MEF2C;PAK2;BHLHE22;SYT1;NOVA1;RPRM;APP;ANK3;AP2B1;BASP1;H1FX;HSPA1A;MEIS2;POU3F2;DUSP1;CLMP;BTG1;IER2;GNG4;POU3F3;NTM;SRM;HES6;PPDPF;RBFOX3;SMS;BCL11A;SLN;VSTM2L;CTNNBL1;SNAP25;DAAM1;CALY;RCN2;STUB1;CALM2;GAP43
neuron_msp_early	neuron_msp_late	118	0.3215	SOX11;HNRNPH1;LMO3;MARCKS;PCDH17;PTPRS;PPP3CA;SET;NFIB;CBX3;NDUFA13;GPM6A;NFIA;ENC1;LLNLR-245B6.1;ATP5I;MIF;AC090498.1;UQCR11;TNRC6B;TMA7;BEX5;PET100;DCX;USMG5;LIMCH1;COMMD6;CAMK2N1;NNAT;SLIRP;SEC61G;TBCB;COX6B1;ZEB2;CAPZA2;LSM7;MEG3;C4orf48;CCNI;TTC3;PTPRZ1;KTN1;BCL7A;SCD5;AFF3;AAK1;NFIX;CCDC112;RTN4;MT-ND2;HSP90AA1;MEF2C;RBFOX1;PAK2;BHLHE22;HP1BP3;SYT1;SEPT11;YTHDC1;NOVA1;APP;CBX1;PCBP2;ARGLU1;ANK3;AP2B1;AKAP9;NUDT3;BASP1;RTF1;CTTNBP2;KIFAP3;DDX46;H1FX;HSPA1A;RHOB;MEIS2;FOS;SLA;POU3F2;CLMP;BTG1;POU3F3;SEMA3C;SAT1;NTM;SRM;HES6;ZNF704;MLLT3;TCF4;SETBP1;PLXNA2;MT-ND1;KLHL35;BAZ2B;TTC28;PPDPF;FOXG1;AFF4;PNISR;CCND2;ZNF608;GPC2;COL9A2;EZR;MEX3A;TRA2B;EPHA5;BCL11A;ARL4C;SLN;VSTM2L;UBE2S;CALM2;NEFM;GAP43;TSTD1
neuron_msp_early	neuron_v1_mid	84	0.2289	LMO4;WTAP;PABPC1;MIF;AC090498.1;UQCR11;SATB2;LIMCH1;LSM7;FTH1;RPL13;RPS2;CKB;CCNI;COX5A;HMGN1;CLTA;LY6H;JUN;GADD45GIP1;UQCRFS1;MRPL41;PFN1;ITM2B;SMARCB1;ARPP21;BCL7A;UBE2D1;SCAND1;AFF3;EIF3F;SRSF2;WASF1;FEZ1;NFIX;CCDC112;SMARCA4;MEF2C;PAK2;BHLHE22;HP1BP3;SEPT11;JMJD1C;YTHDC1;LINC01551;ARGLU1;ARPC2;SQLE;HSPA1A;HSPA1B;TSC22D1;JUND;DUSP1;BTG1;IER2;SAT1;NTM;KLF6;HES6;TCF4;PLXNA2;KLHL35;SDCBP;UBC;PPDPF;NR2F1;FOXG1;POU3F1;FAM57B;IER5;PNISR;CCND2;NKTR;EZR;EPHA5;H3F3B;GADD45G;BCL11A;INSM1;ARL4C;C19orf43;CSAD;NEFM;TSTD1
neuron_msp_early	neuron_pfc_late	61	0.1662	LMO3;PCDH17;LMO4;PABPC1;NFIA;MIF;MAP1B;BEX5;FTL;LIMCH1;PRDX2;NNAT;TBCB;SUB1;CSRP2;MEG3;FTH1;RPL13;RPS2;YBX1;PCSK1N;ZNF428;TUBB2A;YWHAQ;NDFIP1;LY6H;MARCKSL1;STMN2;MAP1LC3A;RAC3;PFN1;CALM1;GUK1;ARPP21;ARF5;MT-ND2;HSP90AA1;HP1BP3;RPRM;RHEB;CBX1;ARGLU1;ARPC2;RTF1;SQLE;UBE2E3;SARAF;MEIS2;SRM;KLF6;MT-ND1;PPDPF;MEX3A;C19orf43;SLN;VSTM2L;SNAP25;C12orf75;STUB1;CALM2;GAP43
neuron_msp_early	neuron_v1_early	58	0.158	SOX11;SAR1A;HNRNPH1;PPP1CB;SRSF6;PTPRS;PPP3CA;WTAP;INSR;SET;MARCH6;NFIB;NDUFA13;NFIA;PAFAH1B2;EIF4G2;AC090498.1;CDC42;RPP21;NNAT;ZNF462;PHPT1;GDI1;RPL13;CKB;GADD45GIP1;PTPRZ1;CALM1;MTDH;DYNC1I1;AFF3;EIF3F;WASF1;NFIX;C5orf24;SEPT11;AKT3;HSPA1A;HSPA1B;DUSP1;DDIT4;NTM;TCF4;MT-ND1;PTCHD2;SDCBP;NR2F1;FOXG1;MTRNR2L12;EZR;H3F3B;ARRDC3;BCL11A;INSM1;ARL4C;SNAP25;NEFM;TSTD1
neuron_msp_early	neuron_temporal_mid	56	0.1526	SOX11;HNRNPH1;CTNNB1;LMO3;BCL11B;NFIB;ATP5I;MIF;AC090498.1;PET100;CDC42;COMMD6;SLIRP;SEC61G;LSM7;SUB1;MEG3;FTH1;RPS2;TUBB2A;HNRNPA0;RAC3;SMARCB1;BCL7A;SCAND1;HMGB1;EIF3F;MT-ND2;MEF2C;SYT1;SERPINI1;FOS;DNAJB1;NTM;ZNF704;CADM1;CASC15;PLXNA2;SORBS2;ROBO2;SDCBP;TTC28;NR2F1;EPHA3;FAM57B;ZNF608;PHIP;EZR;TMEM158;ARRDC3;GADD45G;TCEAL7;TBCC;C12orf75;NEFM;TSTD1
neuron_msp_early	neuron_pfc_early	51	0.139	LMO3;NFIA;ENC1;SERF2;ATP5I;MIF;AC090498.1;TMA7;POMP;FTL;PRDX2;NNAT;TRIM36;TMSB15A;RBP1;SEC61G;COX6B1;LSM7;SUB1;CSRP2;FTH1;C4orf48;COX5A;TUBB2A;HMGN1;GADD45GIP1;RANBP1;PFN1;SCAND1;HMGB1;COX4I1;PA2G4;RPRM;RHEB;PSMA7;UBE2E3;RWDD1;H1FX;MEIS2;FOS;HSPB1;SRM;TMEM158;H3F3B;GADD45G;HSPE1;SLN;VSTM2L;SNAP25;UBE2S;RCN2
neuron_msp_early	neuron_temporal_late	48	0.1308	LMO3;MARCKS;PCDH17;LMO4;SET;GPM6A;ENC1;ATP5I;MIF;TNRC6B;DCX;USMG5;CAMK2N1;NNAT;SLIRP;YWHAG;SEC61G;MEG3;C4orf48;PTPRZ1;KTN1;CALM1;ARPP21;BCL7A;AAK1;CCDC112;RTN4;MT-ND2;MEF2C;BHLHE22;HP1BP3;SYT1;CBX1;ARGLU1;ANK3;AP2B1;AKAP9;BASP1;RTF1;AKT3;KIFAP3;ID4;CADM1;TCF4;MT-ND1;NR2F1;SNAP25;CALY
neuron_msp_early	neuron_msp_early_unique	39	0.1063	ENAH;LINC00643;TCEAL2;DUSP14;PLCB1;DPY19L1;PREX1;ST8SIA1;CUX2;WDFY3;UNC5A;CTD-2129N1.1;UPP1;TRNP1;GALNT13;SAMD12;ZNF182;TMEM191C;WNT7A;SNCG;MMP28;RQCD1;ZBTB48;ZFP28;TMEM191B;FBXO38;GPR37;KIFC3;LRRC16A;MINK1;SPIDR;ZNF264;PRPS2;UHRF2;RAP1GAP;NCOA5;MACROD2;TVP23B;CCNG2
neuron_msp_early	neuron_temporal_early	27	0.0736	LMO3;MAP1B;BEX5;USMG5;SATB2;TBCB;PHPT1;MEG3;RPS2;YBX1;PCSK1N;TUBB2A;LY6H;STMN2;RAC3;CALM1;ARPP21;SCD5;WASF1;MEF2C;RPRM;ATP2B1;NR2F1;DAAM1;CSAD;NEFM;GAP43
neuron_msp_early	neuron_v1_late	12	0.0327	SOX11;AC090498.1;NFIX;MEF2C;BHLHE22;HSPA1A;TSC22D1;TCF4;NR2F1;BCL11A;NEFM;TSTD1
