group	group_markers_n	tf_genes	tf_genes_n	tf_genes_frac	tf_cofactor_genes	tf_cofactor_genes_n	tf_cofactor_genes_frac	expression_go_genes	expression_go_genes_n	expression_go_genes_frac
ipc_msp_early_all	155	BAZ2B;CSRNP2;FOS;HES1;HES6;JUN;NCOR1;NR2F1;POU3F2;SETBP1;SOX4;SOX5;YBX1;ZHX2;AFF3;BHLHE22	16	0.1	ANP32B;ARGLU1;BTG1;C1QBP;HNRNPD;KAT6B;KDM5B;MLLT3;MTDH;POLR3C;SCAND1;SF1;SMARCA4;SMARCB1;SMARCD1;SRSF2;TERF2IP;TOP1;WWTR1;DDX17;BASP1	21	0.14	AKAP8L;AKIRIN2;CSRNP2;FOS;HES1;IER2;JUN;KAT6B;LMO4;NR2F1;PARP1;PFN1;POU3F2;SMARCA4;SMARCB1;SOX4;SOX5;WWTR1;YBX1;BHLHE22;BTG1;HES6;HNRNPD;MLLT3;PPP2CA;SCAND1;TERF2IP;BAZ2B;HMGN1;KDM5B;MTDH;SMARCD1;ZHX2;C1QBP;NCOR1;UBE2D1;BASP1;ILF3;YWHAQ;MAP2K1;SF1;SRSF2;QKI;RAB3GAP1;RDX;VIM;MIF;NDFIP1;AFF3;PCBP2;PPP1CC;TOP1;POLR3C;MAT2B;LRP8;YTHDC1;IVNS1ABP	57	0.37
ipc_msp_late_all	45	HES6;NR2F1;SOX4;NEUROD6;BCL11A;BHLHE22	6	0.13	ACTB;HSPA1B;SUMO1;BASP1	4	0.09	BCL11A;BHLHE22;HES6;NEUROD6;NR2F1;SOX4;SUMO1;UBC;BASP1;YWHAQ;HSPA1B;MIF;ACTB	13	0.29
ipc_msp_mid_all	406	BAZ2B;EGR1;EMX2;FOS;FOSB;GABPB1;HES6;JUN;JUND;MAF1;MEF2C;MEIS2;NCOR1;NR2F1;POU3F2;RERE;SATB2;SON;SOX4;TBR1;TFDP2;THRA;YBX1;ZBTB18;ZBTB20;ZEB1;ZEB2;ZNF711;ZNF821;MYT1L;ZNF33A;CUX1;EOMES;NEUROD2;NFIA;NFIB;POU3F1;POU3F3;SOX11;GTF3A	40	0.1	ANP32B;APEX1;ARL2BP;BTF3;BTG1;C1QBP;CBX3;CDKN1B;CENPU;DEK;EZR;HNRNPD;HSPA1A;HSPA1B;KMT2E;MAD2L2;MLLT3;MTDH;NDUFA13;PARK7;PIN1;PNRC1;PSIP1;RALY;RASD1;RBMX;SCAND1;SF1;SMARCA4;SMARCB1;SMARCD3;SRSF2;SSBP3;TERF2IP;TLE4;TXN;VGLL4;ZNF703;DDX17;BASP1	40	0.1	AKIRIN2;APEX1;APP;EGR1;EOMES;FOS;FOSB;GABPB1;IER2;JUN;JUND;LMO4;MEF2C;MEIS2;NDN;NEUROD2;NFIA;NFIB;NR2F1;PARK7;PFN1;PIN1;POU3F1;POU3F2;POU3F3;RBMX;SATB2;SMARCA4;SMARCB1;SOX11;SOX4;SSBP3;TBR1;TFDP2;THRA;TOP2A;UBE3A;YBX1;ZBTB18;ZEB1;ZEB2;ZNF821;BTG1;CUX1;EMX2;HES6;HNRNPD;MLF1;MLLT3;MN1;MYT1L;PHF20L1;PPP2CA;RERE;SCAND1;TERF2IP;TLE4;VGLL4;ZNF33A;ZNF703;ZNF711;C1QBP;EZR;FGF9;KHDRBS1;MAD2L2;MTDH;NCOR1;RPS14;TAGLN3;TXN;UBE2D1;ZBTB20;BAZ2B;DEK;HMGN1;BASP1;CBX3;CDKN1B;NDUFA13;RASD1;SET;SFRP1;KMT2E;MLLT11;SMARCD3;YWHAH;ACTG1;ANK2;ANK3;HSPA1A;HSPA1B;LAMTOR5;RDX;RPS7;TPT1;MAPT;MIF;NDFIP1;NME1;ARL2BP;BTF3;POLR2J3;POLR2L;PLCG2;SF1;SRSF2;PPIA;RALY;HSPB1;TMSB4X;MAF1	112	0.28
ipc_pfc_early_all	88	FOS;SUB1	2	0.02	ACTB;C1D;GTF2B;HINT1;RBX1;TXN	6	0.07	FOS;GTF2B;HINT1;RPL6;SUB1;CSNK2B;RBX1;RPL11;RPL5;RPS7;HMGN3;C1D;PSMA7;TXN;ACTB	15	0.17
ipc_pfc_late_all	27	MEIS2;AFF3	2	0.07	ARGLU1;RTF1	2	0.07	MEIS2;PHF14;RTF1;LMO4;TPT1;MIF;AFF3	7	0.26
ipc_pfc_mid_all	262	BCL11B;EGR1;EMX2;FOS;GABPB1;HES6;JUN;NCOR1;NEUROD1;PBRM1;RERE;SATB2;TBR1;TFDP2;YBX1;ZBTB20;ZEB2;ZNF711;ZNF821;MYEF2;NEUROD2;NFIA;POU3F3;GTF3A	24	0.09	ACTB;ARL2BP;BTG1;C1QBP;CBX3;CDKN1B;CLU;DNAJB1;HNRNPD;HSPA1A;HSPA1B;HSPA8;KDM1A;MED30;MTDH;NDUFA13;PIN1;PNRC1;PSIP1;RBMX;RTF1;SCAND1;SF1;SMARCD1;SRSF2;TERF2IP;HTATSF1	27	0.1	AKIRIN2;APP;BCL11B;EGR1;FOS;GABPB1;IER2;JUN;KDM1A;NEUROD1;NEUROD2;NFIA;PFN1;PIN1;POU3F3;RBMX;SATB2;TBR1;TFDP2;UBE3A;YBX1;ZEB2;ZNF821;BTG1;EMX2;HES6;HNRNPD;MLF2;PPP2CA;RERE;SCAND1;TERF2IP;ZNF711;CCNL2;HMGN1;HTATSF1;IFRD1;MTDH;MYEF2;PRKAR1A;SMARCD1;ZBTB20;C1QBP;DICER1;NCOR1;RTF1;UBE2D1;HNRNPAB;CBX3;CDKN1B;HSPA8;NDUFA13;YWHAQ;MDK;MED30;YWHAH;ANK3;CLU;HSPA1A;HSPA1B;RDX;TMED2;VIM;ATP1B1;PCBP2;NDFIP1;SRSF6;ARL2BP;DNAJB1;SF1;SRSF2;PTMA;PPP1CB;PSMD8;HSPB1;PBRM1;RPL26;ACTB	78	0.3
ipc_temporal_early_all	9	NR2F1;SOX2	2	0.22		0	0	NR2F1;SOX2	2	0.22
ipc_temporal_mid_all	195	BAZ2B;HES6;NCOR1;NR2F1;NR2F2;SON;SOX2;SOX4;SUB1;ZEB1;BBX;EOMES;SOX11	13	0.07	APEX1;CALR;EZR;GSK3B;HINT1;HNRNPK;HSBP1;RALY;RASD1;RTF1;SMARCB1;DDX17	12	0.06	AKIRIN2;BBX;CALR;EOMES;EZR;HES6;HSBP1;NCOR1;NR2F1;NR2F2;RTF1;SOX11;SOX2;UBA52;UBE2D1;ZEB1;APEX1;APP;C1orf61;HMGN3;HNRNPK;SMARCB1;SOX4;BAZ2B;HMGN1;SUB1;HINT1;ACTG1;GSK3B;LAMTOR5;VIM;RASD1;SFRP1;MIF;FLOT1;COMMD6;PRDX2;TMSB4X;TPT1;UBA2;PPP1CC;RPS27L;EPHA5;RALY;IVNS1ABP	45	0.23
ipc_v1_early_all	84	EMX1;HES6;ID2;LHX2;MEF2C;NFIX;NR2F1;TCF4;ZBTB18;NEUROD6;NFIA;NFIB;BCL11A	13	0.15	AUTS2;CRYM;MDFI;RASD1;RUNX1T1	5	0.06	BCL11A;CRYM;EMX1;HES6;ID2;MDFI;MEF2C;NFIA;NFIB;NFIX;NR2F1;RPL10;TCF4;ZBTB18;LHX2;NEUROD6;RUNX1T1;AUTS2;MLLT11;RASD1;VIM;RPL26	22	0.26
ipc_v1_late_all	35	MEF2C;NFIX;NR2F1;SON;TCF25;TCF4;ZBTB18;NEUROD6	8	0.23		0	0	MEF2C;NFIX;NR2F1;RPL23;TCF25;TCF4;ZBTB18;NEUROD6;ADCY1	9	0.26
