cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
1	1	10099	14503	13044	534.085581591331	-63895.044941055894	0.6963386885471972	astrocyte_allocortex	astrocyte_allocortex
3	1	884	3420	13044	198.25150251689738	-3955.3772745318984	0.2584795321637427	astrocyte_claustrum	astrocyte_allocortex
4	1	649	19694	13044	25.275577762644886	-1502.088799379536	0.032954199248502083	astrocyte_GE	astrocyte_allocortex
5	1	36	123329	13044	0.22388635157023803	-1.5260551211229743e-33	2.9190214791330506e-4	astrocyte_hypothalamus	astrocyte_allocortex
7	1	62	23848	13044	1.9940225023225393	-14.256265805343443	0.00259979872525998	astrocyte_neocortex	astrocyte_allocortex
10	1	68	190825	13044	0.2733153165335896	-2.7933932943887305e-43	3.5634743875278396e-4	astrocyte_thalamus	astrocyte_allocortex
11	1	6	17176	13044	0.26792889160074024	-1.0973414683571446e-5	3.4932463903120635e-4	dividing_allocortex	astrocyte_allocortex
14	1	9	370410	13044	0.018635889860428908	-1.4005007945552322e-197	2.4297400178180935e-5	dividing_GE	astrocyte_allocortex
15	1	39	49389	13044	0.6056541572794153	-2.53404801905705e-4	7.896495170989492e-4	dividing_hypothalamus	astrocyte_allocortex
16	1	1	585	13044	1.3110959094399757	-0.627646630992096	0.0017094017094017094	dividing_midbrain	astrocyte_allocortex
17	1	123	499260	13044	0.18895947234657984	-4.854195275897478e-148	2.4636461963706285e-4	dividing_neocortex	astrocyte_allocortex
20	1	4	72859	13044	0.042108242332306825	-5.579441671470636e-37	5.490056135823989e-5	dividing_thalamus	astrocyte_allocortex
27	1	1	44094	13044	0.017394455187154392	-9.142123815288544e-26	2.2678822515534993e-5	endo_neocortex	astrocyte_allocortex
57	1	3	252060	13044	0.009128673018595402	-1.287474286941696e-140	1.1901928112354201e-5	neuron_hypothalamus	astrocyte_allocortex
62	1	1	270183	13044	0.0028387837392522316	-6.420825735886013e-156	3.7011951159029253e-6	neuron_thalamus	astrocyte_allocortex
63	1	30	5738	13044	4.01006155640843	-21.556327861877836	0.005228302544440571	oligo_allocortex	astrocyte_allocortex
65	1	23	3895	13044	4.529087409888286	-19.127001259654758	0.005905006418485238	oligo_claustrum	astrocyte_allocortex
