p_val	avg_logFC	pct.1	pct.2	p_val_adj	celltype	area	gene	gene.ratio	gene.score
0	1.79431103965461	0.979	0.374	0	astrocyte	allocortex	JUND	2.6176470588235294	4.696873015566479
0	1.65127939108929	0.882	0.157	0	astrocyte	allocortex	SFRP2	5.617834394904459	9.276614158858305
0	1.62581263399083	0.997	0.733	0	astrocyte	allocortex	VIM	1.3601637107776263	2.2113713452781143
0	1.41726740939398	0.973	0.433	0	astrocyte	allocortex	BASP1	2.2471131639722866	3.1847602525181125
5.06543738106601e-298	1.2046218547693	0.97	0.341	1.5571661053135e-293	astrocyte	allocortex	CD81	2.8445747800586507	3.426636947584225
1.07482249433397e-295	1.175029509704	0.994	0.549	3.30411182983205e-291	astrocyte	allocortex	GNAS	1.8105646630236794	2.127466908280102
1.16209742455087e-288	1.12324891621239	0.759	0.094	3.57240369281183e-284	astrocyte	allocortex	LHX2	8.074468085106384	9.069637525587277
4.57200013328878e-270	0.806312378618693	1	0.945	1.4054785609743e-265	astrocyte	allocortex	MT-CYB	1.0582010582010584	0.8532406122949133
1.02628251064983e-267	1.23355560859635	0.811	0.156	3.15489506598865e-263	astrocyte	allocortex	HIST1H1E	5.198717948717949	6.412907683151538
4.39676212963768e-260	1.06405738556119	0.877	0.188	1.35160864627192e-255	astrocyte	allocortex	ADGRV1	4.664893617021277	4.963714506048743
1.73267154172199e-254	1.2668775376672201	0.822	0.189	5.32640558640756e-250	astrocyte	allocortex	IQGAP2	4.349206349206349	5.509911830489179
2.27294853230066e-251	0.70977848282427	1	0.95	6.98727108314545e-247	astrocyte	allocortex	ACTG1	1.0526315789473684	0.747135245078179
3.08175462430606e-250	0.631653700121702	1	0.996	9.47362189057925e-246	astrocyte	allocortex	MT-CO3	1.0040160642570282	0.6341904619695803
6.59184348825916e-221	1.07348027743202	0.988	0.888	2.02639860672575e-216	astrocyte	allocortex	FABP5	1.1126126126126126	1.194367696061752
2.92834703298503e-219	0.621513076262251	1	0.969	9.00203161409928e-215	astrocyte	allocortex	MT-ATP6	1.0319917440660475	0.6413963635317349
8.14529134507959e-216	1.02353634332279	0.829	0.254	2.50394401239092e-211	astrocyte	allocortex	CAMK2N1	3.263779527559055	3.3405969630495784
2.39844907313735e-206	1.01932930703161	0.948	0.448	7.37307229573153e-202	astrocyte	allocortex	METRN	2.1160714285714284	2.1569736229151033
2.05915557852128e-198	0.933198401833281	0.73	0.168	6.33005016393226e-194	astrocyte	allocortex	PPP1R14B	4.345238095238095	4.05496924606128
2.56700142990694e-197	0.743681305927272	1	0.98	7.89121909567692e-193	astrocyte	allocortex	TUBA1A	1.0204081632653061	0.7588584754359918
2.73790290520472e-188	0.694479329030366	1	0.874	8.41658732088984e-184	astrocyte	allocortex	RPL7A	1.1441647597254005	0.7945987746342861
1.02202649079553e-187	0.77366314503621	0.579	0.076	3.14181163535453e-183	astrocyte	allocortex	TMEM132B	7.618421052631579	5.894091591789021
1.09100220621353e-187	1.32881468628747	0.859	0.364	3.35384988212101e-183	astrocyte	allocortex	HSPA1B	2.35989010989011	3.135856636046529
2.90938594977355e-186	0.832865190247902	0.766	0.221	8.94374334819886e-182	astrocyte	allocortex	KIF5C	3.4660633484162897	2.886763510090013
3.13923426842298e-184	0.867154798937925	0.794	0.228	9.65032006455908e-180	astrocyte	allocortex	ODC1	3.482456140350877	3.019828554196107
1.22307176378151e-182	0.962948327663604	0.803	0.234	3.75984490904074e-178	astrocyte	allocortex	H1FX	3.4316239316239314	3.3044765261276665
5.0004044395634e-178	0.783329574145819	0.462	0.039	1.53717432876619e-173	astrocyte	allocortex	ITGA2	11.846153846153847	9.27944264757355
1.48446575460062e-177	0.953544306317765	0.985	0.817	4.56339617621777e-173	astrocyte	allocortex	FOS	1.2056303549571603	1.1496219604932663
2.97851865393811e-175	0.877717067238991	0.837	0.305	9.15626419407115e-171	astrocyte	allocortex	LRRC3B	2.7442622950819673	2.408685853373887
2.36930253410572e-171	0.830684658788158	0.486	0.049	7.2834729200944e-167	astrocyte	allocortex	KCNG1	9.918367346938775	8.239035595327444
4.94074623665872e-169	0.746927472240346	0.709	0.182	1.51883480061126e-164	astrocyte	allocortex	BRI3	3.8956043956043955	2.9097339440571717
8.94191121092104e-168	0.785211749228448	0.52	0.066	2.74883292534924e-163	astrocyte	allocortex	TMEM158	7.878787878787879	6.186516812102924
1.50183049107507e-166	1.34854624363098	0.94	0.704	4.61677711261387e-162	astrocyte	allocortex	HSPA1A	1.3352272727272727	1.8006157230300017
1.24353879919274e-165	0.778628179357894	0.704	0.188	3.8227626225984e-161	astrocyte	allocortex	SPIRE1	3.7446808510638294	2.9157140333401985
4.81857259379286e-165	0.855333649954747	0.832	0.303	1.48127740105786e-160	astrocyte	allocortex	VCAN	2.745874587458746	2.3486389332090742
4.08743261216114e-163	1.24543108307782	0.622	0.149	1.25651765930445e-158	astrocyte	allocortex	SFRP1	4.174496644295302	5.199047877009423
1.86478594083906e-160	0.625234784765848	0.344	0.005	5.73253846073337e-156	astrocyte	allocortex	FEZF2	68.8	43.016153191890346
1.14246040811345e-159	0.482688673475216	1	0.986	3.51203754058155e-155	astrocyte	allocortex	MT-CO2	1.0141987829614605	0.4895422651878458
8.92941624519231e-159	0.774517571429846	0.919	0.407	2.74499184793457e-154	astrocyte	allocortex	SRRM2	2.257985257985258	1.7488492583391364
2.94557563138072e-156	0.772986758070898	0.789	0.251	9.05499404842748e-152	astrocyte	allocortex	GNAI2	3.1434262948207174	2.429826900868281
1.29865347469771e-153	1.18255529300021	0.742	0.262	3.99219064656823e-149	astrocyte	allocortex	HES5	2.83206106870229	3.349068806893724
9.06864800921516e-152	0.686080881775574	0.536	0.099	2.78779308451283e-147	astrocyte	allocortex	UBE2M	5.414141414141414	3.714538915471795
7.20237150496519e-151	0.517401676340335	1	0.984	2.21408102434135e-146	astrocyte	allocortex	EEF1A1	1.016260162601626	0.5258147117279828
1.08408707444093e-144	0.709894425389499	0.76	0.25	3.33259207553886e-140	astrocyte	allocortex	CENPV	3.04	2.158079053184077
1.61084950535364e-142	0.664977232858617	0.602	0.138	4.95191246440762e-138	astrocyte	allocortex	MAP2K2	4.36231884057971	2.900842711455706
1.52530675051919e-141	0.705870680569179	0.794	0.307	4.68894548177103e-137	astrocyte	allocortex	NR2F2	2.5863192182410426	1.8256069067489518
2.98687730541255e-140	0.742309786398415	0.445	0.059	9.18195952456871e-136	astrocyte	allocortex	EFNB2	7.5423728813559325	5.59877720249652
2.87655050057137e-139	0.681824083200065	0.808	0.295	8.84280389380645e-135	astrocyte	allocortex	SRSF9	2.738983050847458	1.8675046075445851
4.94805550175741e-139	0.706352201579835	0.776	0.274	1.52108174179524e-134	astrocyte	allocortex	ARHGAP21	2.8321167883211675	2.0004719285618684
2.9228402622107e-138	0.561738093278234	0.319	0.005	8.98510325006191e-134	astrocyte	allocortex	DMRTA2	63.8	35.83889035115133
4.90206889159422e-138	0.685414098833099	0.542	0.109	1.50694499796498e-133	astrocyte	allocortex	C3orf58	4.972477064220183	3.4082058859407307
2.27912883531275e-136	0.570932037160409	0.309	0.007	7.00626995263493e-132	astrocyte	allocortex	TFAP2C	44.14285714285714	25.202571354652335
2.30615493190106e-136	0.606884166392878	0.401	0.044	7.08935087615706e-132	astrocyte	allocortex	MSTN	9.113636363636365	5.530921607353275
2.69652649948567e-136	0.638651612904298	0.996	0.81	8.28939211206891e-132	astrocyte	allocortex	HSP90AB1	1.2296296296296296	0.7853049462378775
7.70259828976728e-136	0.742831927615562	0.776	0.282	2.36785574025736e-131	astrocyte	allocortex	DOK5	2.7517730496453905	2.044104878828639
3.91474455808455e-133	0.589930287703783	0.467	0.094	1.20343162460077e-128	astrocyte	allocortex	CNIH2	4.968085106382979	2.93082387614539
5.10038304261874e-133	0.685107147193696	0.656	0.204	1.56790875113143e-128	astrocyte	allocortex	FJX1	3.215686274509804	2.2030896497993364
6.43721045065007e-128	0.51815864417819	0.997	0.905	1.97886286463434e-123	astrocyte	allocortex	RPL18	1.101657458563536	0.5708333350780723
1.23360406784102e-127	0.639907046627714	0.925	0.509	3.79222226495007e-123	astrocyte	allocortex	NR2F1	1.8172888015717092	1.1628959098833702
3.34443973002739e-127	0.614719962421044	0.45	0.077	1.02811421740772e-122	astrocyte	allocortex	LTBP1	5.8441558441558445	3.5925192609022054
5.27297020301223e-126	0.651593371237196	0.909	0.443	1.62096377010799e-121	astrocyte	allocortex	SEPT11	2.0519187358916477	1.3370166466244042
1.32983216014635e-124	0.790821123782662	0.696	0.214	4.0880370435059e-120	astrocyte	allocortex	NES	3.2523364485981308	2.5720163651996857
2.36244572845466e-124	0.859143410737019	0.99	0.836	7.26239441384247e-120	astrocyte	allocortex	JUN	1.1842105263157896	1.0174066706096279
2.51919789030969e-124	0.651892572711478	0.403	0.057	7.744266234601e-120	astrocyte	allocortex	ACTR3B	7.0701754385964914	4.608994856188169
4.00321714127396e-121	0.567198912422017	0.517	0.125	1.23062898139903e-116	astrocyte	allocortex	ECI1	4.136	2.3459347017774625
1.10221682823542e-119	0.484769055885679	0.995	0.884	3.38832475167851e-115	astrocyte	allocortex	NACA	1.1255656108597285	0.5456393785138581
3.36803253127364e-119	0.756444303349433	0.936	0.596	1.03536688043883e-114	astrocyte	allocortex	NNAT	1.5704697986577183	1.1879729327769621
7.33051784163752e-119	0.684823624437367	0.754	0.277	2.25347448969779e-114	astrocyte	allocortex	CCND2	2.722021660649819	1.8641047394432297
1.39956224743778e-118	0.693486315030956	0.874	0.411	4.30239430484847e-114	astrocyte	allocortex	BTG1	2.126520681265207	1.4747129910877266
1.05846558931537e-116	0.597019914715247	0.743	0.268	3.25382906811436e-112	astrocyte	allocortex	HNRNPD	2.7723880597014925	1.655170882960554
1.43592447881871e-116	0.856754961859878	0.261	0.005	4.41417544033659e-112	astrocyte	allocortex	RSPO3	52.2	44.72260900908563
7.34123401798782e-116	0.576887417657838	0.555	0.128	2.25676874946964e-111	astrocyte	allocortex	FOXG1	4.3359375	2.501347787500782
3.12521720070627e-114	0.692485315201409	0.823	0.394	9.60723019669114e-110	astrocyte	allocortex	LY6H	2.0888324873096447	1.4464858233775624
1.03913714208297e-113	0.577964781306871	0.837	0.378	3.19441148847726e-109	astrocyte	allocortex	GOLM1	2.214285714285714	1.2797791586080713
1.24597684309643e-113	0.593597277587188	0.935	0.559	3.83025741336274e-109	astrocyte	allocortex	EZR	1.6726296958855098	0.9928684338891249
1.92334373601396e-112	0.559610536913615	0.437	0.094	5.91255097888053e-108	astrocyte	allocortex	RP11-172H24.4	4.648936170212766	2.6015936662898906
8.26843905356589e-112	0.600489940583417	0.865	0.441	2.54180084945669e-107	astrocyte	allocortex	CSPG5	1.9614512471655328	1.1778317428676999
2.35314958126111e-110	0.526205466659952	0.397	0.07	7.23381712775479e-106	astrocyte	allocortex	EMID1	5.671428571428571	2.9843367180571563
1.73766494234617e-109	0.603645312027287	0.881	0.455	5.34175579926636e-105	astrocyte	allocortex	PSIP1	1.9362637362637363	1.1688165272440436
2.78351795006601e-109	0.541795074626457	0.549	0.15	8.55681253029793e-105	astrocyte	allocortex	URI1	3.6600000000000006	1.9829699731328332
4.39800918469625e-109	0.541774526566321	0.495	0.129	1.35199200346748e-104	astrocyte	allocortex	TSPAN18	3.837209302325581	2.0789022531033243
7.74264593774628e-107	0.71226459123738	0.813	0.381	2.38016678772258e-102	astrocyte	allocortex	TNC	2.133858267716535	1.5198716868136217
5.05007752713651e-106	0.567118356594641	0.483	0.115	1.55244433261703e-101	astrocyte	allocortex	UBE2S	4.199999999999999	2.381897097697492
9.33104574547907e-106	0.586746853550466	0.681	0.237	2.86845677261772e-101	astrocyte	allocortex	SYNE2	2.8734177215189876	1.685968807037415
