Species	Symbol	Ensembl	Family	Entrez ID
Homo_sapiens	KDM1A	ENSG00000004487	Lysine demethylase	23028
Homo_sapiens	DVL2	ENSG00000004975	Others	1856
Homo_sapiens	DHX33	ENSG00000005100	RNA helicase	56919
Homo_sapiens	MSL3	ENSG00000005302	Others	10943
Homo_sapiens	CREBBP	ENSG00000005339	CREB	1387
Homo_sapiens	KMT2E	ENSG00000005483	Lysine methyltransferase	55904
Homo_sapiens	MYCBP2	ENSG00000005810	Others	23077
Homo_sapiens	KDM7A	ENSG00000006459	Lysine demethylase	80853
Homo_sapiens	PAF1	ENSG00000006712	Others	54623
Homo_sapiens	SS18L2	ENSG00000008324	SS18	51188
Homo_sapiens	CRY1	ENSG00000008405	Others	1407
Homo_sapiens	MED24	ENSG00000008838	Mediator complex	9862
Homo_sapiens	TENM1	ENSG00000009694	Others	10178
Homo_sapiens	BAZ1B	ENSG00000009954	Bromodomain	9031
Homo_sapiens	BTK	ENSG00000010671	Others	695
Homo_sapiens	SCMH1	ENSG00000010803	Others	22955
Homo_sapiens	MBTD1	ENSG00000011258	Others	54799
Homo_sapiens	DPF1	ENSG00000011332	DPF	8193
Homo_sapiens	BRCA1	ENSG00000012048	Others	672
Homo_sapiens	KDM5D	ENSG00000012817	Lysine demethylase	8284
Homo_sapiens	CALCOCO1	ENSG00000012822	Others	57658
Homo_sapiens	RNF14	ENSG00000013561	Ring finger protein	9604
Homo_sapiens	UFL1	ENSG00000014123	Others	23376
Homo_sapiens	SLC30A9	ENSG00000014824	SLC	10463
Homo_sapiens	YAF2	ENSG00000015153	Others	10138
Homo_sapiens	ZMYND11	ENSG00000015171	Zinc finger	10771
Homo_sapiens	WWTR1	ENSG00000018408	WW	25937
Homo_sapiens	MNAT1	ENSG00000020426	Others	4331
Homo_sapiens	RNF10	ENSG00000022840	Ring finger protein	9921
Homo_sapiens	STRAP	ENSG00000023734	Others	11171
Homo_sapiens	DEPDC1	ENSG00000024526	Others	55635
Homo_sapiens	PHF20	ENSG00000025293	PHF	51230
Homo_sapiens	TBPL1	ENSG00000028839	TATA-box	9519
Homo_sapiens	MED17	ENSG00000042429	Mediator complex	9440
Homo_sapiens	TPR	ENSG00000047410	Others	7175
Homo_sapiens	HDAC9	ENSG00000048052	Histone deacetylase	9734
Homo_sapiens	RSF1	ENSG00000048649	Others	51773
Homo_sapiens	ARHGEF5	ENSG00000050327	Others	7984
Homo_sapiens	NRIP2	ENSG00000053702	Nuclear coactivator	83714
Homo_sapiens	THRAP3	ENSG00000054118	Thyroid hormone receptor	9967
Homo_sapiens	PHF21B	ENSG00000056487	PHF	112885
